premise,statement,label,adjective_premise,adjective_statement
"It isn’t uncommon for 25-50 repetitions of this same command to be used for the dog to understand it. In order to prevent your dog from jumping on you, grab its paws anytime he jumps on you and gently squeeze them to inform them that this isn’t acceptable behavior. It’s uncomfortable",It’s painful,contradiction,uncomfortable,painful
It was through this archway and up the stairs. And through this brown door. The room was small and we had two interesting views out each end of our room,The room was tiny and we had two interesting views out each end of our room,contradiction,small,tiny
"As I clearly said, it’s not impossible that they would choose to schedule bb8 now and jtr + bb8 in july or even jtr alone in july. It’s just very unlikely. I had no issue to complete all stages of the event, I just put some good mods on them","I had no issue to complete all stages of the event, I just put some great mods on them",contradiction,good,great
"Everyone interpreted that to mean that if he and Art Garfunkel teamed up again, he would tour. Simon confirmed that reading with a slightly sly smile on his face. Becker’s nevus is an uncommon benign skin lesion",Becker’s nevus is an rare benign skin lesion,entailment,uncommon,rare
"For home use, a 3-way passive speaker system is cost effective and adequate for most people. It is possible to make a 4-way passive crossover system",It is practical to make a 4-way passive crossover system,contradiction,possible,practical
"If you just jump into the more advanced concepts without a solid ABC Poker game, you could open yourself up to losing more money than you should. First let us review a blocking bet because it doesn’t happen until later in the video. If you are out of position and want to showdown a good hand, and if you check your opponent is likely to bet too large for you to call – then you can use a blocking bet","If you are out of position and want to showdown a great hand, and if you check your opponent is likely to bet too large for you to call – then you can use a blocking bet",contradiction,good,great
"Morea says the tremendous growth in diagnostic imaging during the past two decades makes it an exciting time to work in the industry. Most diagnostic imaging procedures are non-invasive, painless and easy. Some are minimally invasive and will require the patient to hold still for a certain amount of time, which can be slightly uncomfortable","Some are minimally invasive and will require the patient to hold still for a certain amount of time, which can be painful",contradiction,uncomfortable,painful
"Besides the exciting program and performers, both events should be memorable and chock full of press, as uptown music venues attempt to take their hold in downtown’s alternative music industry. This is a big opportunity for the two Kaplan brothers, who grew up in West Hartford, Connecticut, and arrived on the scene with lots of supporters from their hometown and a set of skills that they feel make them the perfect partners for this uptown-downtown mutual undertaking. The joint partnership and its promising beginning has given the brothers’ own relationship a new energy, which has enabled them to achieve what they feel is an “authentic venue with an atmosphere that offers the best possible climate, concentrated on performances for a small audience, while still retaining that ‘cool’ feeling of a unique downtown space – a diamond in the rough","The joint partnership and its promising beginning has given the brothers’ own relationship a new energy, which has enabled them to achieve what they feel is an “authentic venue with an atmosphere that offers the best possible climate, concentrated on performances for a tiny audience, while still retaining that ‘cool’ feeling of a unique downtown space – a diamond in the rough",contradiction,small,tiny
That does not mean Groupon is a bad service. It is a good service. It is good,It is great,contradiction,good,great
"As I said in a recent Q&A with another Big East blogger, Ive got no beef with this. If I had a vote, I would have given it to Boeheim as well. His team is led by Wes Johnson, who's a good player","His team is led by Wes Johnson, who's a great player",entailment,good,great
"They were a little on the small side, and on their own wouldnt have been quite enough. Fortunately we also got a pair of pepperoni rolls. Pepperoni Rolls - These were good",Pepperoni Rolls - These were great,contradiction,good,great
"Just finished installing and skimming through Microsofts newest operating system, Windows 8. Overall, I think its good","Overall, I think its great",entailment,good,great
"S. Add childrens NDEs, and all experiences worldwide, and the figure would be much larger. Near-death experiences are uncommon",Near-death experiences are rare,entailment,uncommon,rare
"While it was reasonably possible to try all of the food, it was virtually impossible to make more than a small dent into the wine offerings. My favorite pour was from the Beaulieu Vineyard and their 2008 Georges de Latour Cabernet. Overall, I thought the food was good","Overall, I thought the food was great",entailment,good,great
"This is the real metaphor we should take from weightlifting into other areas of life. Beginning stages of achievement in many domains have a similar structure. Linear progress is achieved through consistent small gains, occasionally taking 2 steps forward and 1 step back, but mostly just marching straightforwardly upward and onward","Linear progress is achieved through consistent tiny gains, occasionally taking 2 steps forward and 1 step back, but mostly just marching straightforwardly upward and onward",entailment,small,tiny
"Eats Cafe is great if you have kids, but definitely not the best restaurant in Cayman for childfree couples! We went while we were on vacation without our daughters, and I found it to be fairly noisy, with lots of rugrats running around distracting us from our meals. The food is decent, but not really worth it if youre not looking for somewhere kid-friendly. i found eats cafe to be good",i found eats cafe to be great,contradiction,good,great
"Monika is not doing too well; she’s down to her last two girls. Tu is, as usual, not happy with her girls’ performances. “If you don’t love yourself, who love yourself then?” That needs to be on a Hallmark card! ? Shikin thinks her girls are doing good still","“If you don’t love yourself, who love yourself then?” That needs to be on a Hallmark card! ? Shikin thinks her girls are doing great still",neutral,good,great
"We started looking a various rescue sites and online. Have to admit I wasnt convinced wed pass the rigorous testing that many rescue groups require. We didnt have a specific breed in mind just a small dog, and we didnt want a puppy","We didnt have a specific breed in mind just a tiny dog, and we didnt want a puppy",entailment,small,tiny
"Other people are selling engagement ring to change style. They caught my eye because they came in designer colors. As far as sound goes, the V-MODAs are good for gaming","As far as sound goes, the V-MODAs are great for gaming",entailment,good,great
"Imagine a fictional version of the UK where Ireland remained part of the country and that took different historical paths. Parties: Conservative, Labour, Liberal Democrats, Celtic, British Right Alliance, and Green. Kanchelska 2008 - Kanchelska is a small fictional country landlocked between Poland and the Ukraine",Kanchelska 2008 - Kanchelska is a tiny fictional country landlocked between Poland and the Ukraine,contradiction,small,tiny
"On the second floor, there are several painted portraits from the Joyce family as well as visual schema of each of the chapters of Ulysses. The ground floor has the gift store and a viewing parlor with John Huston’s movie, The Dead playing, but the display lacked any indication as to how it tied to Joyce. So… the James Joyce Centre was good",So… the James Joyce Centre was great,contradiction,good,great
"I am considering the SD procedure for my meniscus tear but I am a terrible person dealing with pain so I am very concern about the step of injecting the stem cells back into the meniscus tear. Is really painful? Do they use any kind on local anesthesia for that?Thank you very much for your help! I hope you are doing great from your injuries!Hi Sergio, the injection of the stem cells back into my knees was different with each knee. The injections to the knee with the torn meniscus was uncomfortable",The injections to the knee with the torn meniscus was painful,entailment,uncomfortable,painful
"If those two continue to successfully complement senior Jonathan Bonner and junior Jerry Tillery in the middle, that should offer Hayes the peace of mind to not over pursue a running back dive and instead man the outside lane. If he does not feel the need to make a play because he knows Hinish is capable of holding his own, that should help limit Lewerke’s chances, as well. How will the Irish offensive line fare against a good defensive front seven? This plays into the introductory concept",How will the Irish offensive line fare against a great defensive front seven? This plays into the introductory concept,contradiction,good,great
"This is an Xavier team that is a better, more mature version of the 11 seed that went on a big run last year. They are one of the best offenses in the country and are elite defensive rebounders. They have good defense and offensive rebounding",They have great defense and offensive rebounding,entailment,good,great
"It was a fun place to work. A comfortable place to work. But I had seen where the road of comfort-seeking leads, and I knew that if I wasn’t careful, I would end up stuck in a job that was good with no realistic potential for things to magically get better","But I had seen where the road of comfort-seeking leads, and I knew that if I wasn’t careful, I would end up stuck in a job that was great with no realistic potential for things to magically get better",contradiction,good,great
This service makes it attainable to order the paper and to overlook about any associated troubles and worries. Go for actual professionals and revel in excellent grades and excessive achievements. Your writing might be good. What will we do? Our professional writers give you pieces of literature based mostly on your subject of analysis affordable papers and by dissecting quite a few pieces of analysis; they come up with the ultimate copy which is more professional as seen by means of the lenses of prospective instructors,Your writing might be great. What will we do? Our professional writers give you pieces of literature based mostly on your subject of analysis affordable papers and by dissecting quite a few pieces of analysis; they come up with the ultimate copy which is more professional as seen by means of the lenses of prospective instructors,contradiction,good,great
"That tiny bit of distraction is all Drew Brees needs to have one of his better seasons and lead the Saints to a very very good finish on offense. The secondary has a good season behind a much-improved defensive line and New Orleans is one of 2016’s most pleasant surprises. The defense continues its recent run of misery, and a good offense is not enough to keep New Orleans in most of its games","The defense continues its recent run of misery, and a great offense is not enough to keep New Orleans in most of its games",contradiction,good,great
"It works well as a total media powerhouse that’s portable without being too small. Acer’s done a great job balancing specs with design, physical constraints with usability too. It’s good for gaming, however, it’s the perfect multimedia palette with wonderful audio and visual performance","It’s great for gaming, however, it’s the perfect multimedia palette with wonderful audio and visual performance",contradiction,good,great
"It is also quite comfortable on my mid-sized wrist. In terms of sensors and hardware, we find GPS and GLONASS and a wrist heart rate sensor that is the only one on the market that combines optical sensor and bio-impedance technology, which overcomes erratic readings caused by movement. The display is good, and one of my biggest issues with this watch is how low the brightness is (both in standby and in active mode), so that it makes it difficult to read at a glance, especially in sunlight","The display is great, and one of my biggest issues with this watch is how low the brightness is (both in standby and in active mode), so that it makes it difficult to read at a glance, especially in sunlight",contradiction,good,great
".. then pretty good in deep sand, no match for modern KTM or Huskies","then great in deep sand, no match for modern KTM or Huskies",entailment,good,great
"Also you will have to change the Anode resistors to approx 12k. The mosfets and the regulators will need to be heatsinked as they are running the amp in class A and will get very hot. In short, it is possible in this configuration","In short, it is practical in this configuration",contradiction,possible,practical
This wine is easy to drink; I’d call it a picnic white. I can imagine it with cheese and bread and a warm day. It’s good and I’m not sure I’d pay $25 for it,It’s great and I’m not sure I’d pay $25 for it,contradiction,good,great
"Launching the camera sometimes takes a bit of time and the time it takes to process a picture seems a bit below standard especially comparing it to other high-end smartphones. Night shots aren’t too bad but I can’t really say that it might stand up to the competition of the Pixels, Galaxies and iPhones. Overall, its a good camera","Overall, its a great camera",contradiction,good,great
"Ned was in a school. Miss Jane is an unforgettable, vibrant character. The new 2014 Mazdaspeed 3 will have considerably more power than the 2014 Mazda3 hatchback and sedan, but will it be enough to compete with Ford and VW?Just how much power would a new 2014 Mazdaspeed 3 need to have to make it a worthy performance car? With the new 2014 Mazda hatchback and new sedan delivering 155 horsepower and 150 lb ft of torque, it would be good if it gets 200 hp","The new 2014 Mazdaspeed 3 will have considerably more power than the 2014 Mazda3 hatchback and sedan, but will it be enough to compete with Ford and VW?Just how much power would a new 2014 Mazdaspeed 3 need to have to make it a worthy performance car? With the new 2014 Mazda hatchback and new sedan delivering 155 horsepower and 150 lb ft of torque, it would be great if it gets 200 hp",entailment,good,great
"Once you find a setting that works for your tastes, you can save it as the default and see if it functions next time. When we recorded video directly from a DVD player, the 120 encoded it into a 24-bit, 304x244 DivX file, with a variable bit-rate MP3 stereo soundtrack; ours averaged 191Kbps. In lay terms, this means that video looks good when played back on a large display, such as a television connected to the device or a computer with the file uploaded to its hard drive","In lay terms, this means that video looks great when played back on a large display, such as a television connected to the device or a computer with the file uploaded to its hard drive",entailment,good,great
"The most important thing was for me to be as relaxed as possible. The ECV was attempted several times but the doctor never got a good enough grip on the baby, as she was resting with her back towards mine. The procedure in itself was uncomfortable",The procedure in itself was painful,entailment,uncomfortable,painful
"Photograph by Nigel Eggers © All Rights Reserved. Photograph by Tropical Birding (Nick Athanas) © All Rights Reserved. Recently moved into the genus Bangsia, which include small tanagers who favor very wet habitat","Recently moved into the genus Bangsia, which include tiny tanagers who favor very wet habitat",entailment,small,tiny
"This is likely the largest series of consecutive toxic anterior segment syndrome (TASS) cases from a single institution, as well as the first to report long-term outcomes. They found that TASS was uncommon",They found that TASS was rare,contradiction,uncommon,rare
"It is fairly cumbersome to log all portfolio movements including corporate actions etc to replicate a full portfolio NAV. I started this post writing a year end update, but then I changed my mind. I did update my portfolio, so you can find all details under the Portfolio page, but I’m not going to spend more time reflecting on my past performance, it was good","I did update my portfolio, so you can find all details under the Portfolio page, but I’m not going to spend more time reflecting on my past performance, it was great",contradiction,good,great
"The stunning blue sky after sunset!Overall Breeze had impeccable service that was professional and friendly. I made a note in my reservation it was my parents’ anniversary so without any reminders, they surprised them with a chocolate cake and a red rose for my mama! Outstanding service all around. I will say that the food did not match up to the luxurious exterior of the restaurant, but it was such a gorgeous place to dine in that makes up for the good cuisine","I will say that the food did not match up to the luxurious exterior of the restaurant, but it was such a gorgeous place to dine in that makes up for the great cuisine",contradiction,good,great
"Today we look at: 2015. 2013: The Patriots couldnt overcome the injuries to Rob Gronkowski and then Aqib Talib, and they fell to the Denver Broncos in the AFC Championship Game. 2012: A good Patriots team, loses the AFC Championship Game at Gillette to Ray Lewis and the Ravens","2012: A great Patriots team, loses the AFC Championship Game at Gillette to Ray Lewis and the Ravens",neutral,good,great
"Neither worked well for us after extensive testing, but beyond these frustrating gimmicks, we did discover two likable tech firsts: a hole-less top speaker with innovative vibrating sound, and video portrait mode. None of these are reasons to overpay for this otherwise good but not great phone. Theres a good phone underneath the LG G8 underneath my waving palm",Theres a great phone underneath the LG G8 underneath my waving palm,contradiction,good,great
"Milland did a marvelous job. I never thought of him as a great actor — pleasant, good, but not great — but he was the right choice for this role!After 16 seasons of throwing things and screaming in Hell’s Kitchen, Gordon Ramsay has run out of people to throw things and scream at, so the show will bring back previously eliminated contestants for an all-star season. How do you have an all-star season on a show where memorable contestants are the ones intentionally cast for their incompetence as cannon fodder for Gordon Ramsay? By bringing back only those who finished from sixth to third place—perhaps those who were good ,if Hell’s Kitchen contestants can be measured with such nuance","How do you have an all-star season on a show where memorable contestants are the ones intentionally cast for their incompetence as cannon fodder for Gordon Ramsay? By bringing back only those who finished from sixth to third place—perhaps those who were great, if Hell’s Kitchen contestants can be measured with such nuance",contradiction,good,great
"Out back, a conservatory-like dining room boasts an open fire place for wintery nights and powerful air-conditioning for summer days when the sun shines through the glass roof. Summer also sees the tables which spill out on the pavement well used with heaters and an awning prolonging their use. Part of the Three Cheers Pub Company, the food served here is of a good standard","Part of the Three Cheers Pub Company, the food served here is of a great standard",contradiction,good,great
"This was a really good poboy, and I would certainly recommend it to anyone that stops in a the Big Easy. Overall, I would give this place 3 1/2 stars. It was good",It was great,contradiction,good,great
"The side mesh pockets (bottom left) overlay the kanga pocket’s mesh attachment, and are a bit tight when the main compartment is packed full. Inside the main compartment there is a 3 liter hanging hydration sleeve (bottom right) with two hangers and two hose ports. Hipbelt pockets (left) are small",Hipbelt pockets (left) are tiny,entailment,small,tiny
"That being said, they were still tasty and didn’t have a spongey texture. The fruit and pastry were also very fresh. Overall, I found the food on this flight to be good","Overall, I found the food on this flight to be great",neutral,good,great
"She completed her residency and clinical fellowships in bone marrow transplantation and hematology, as well as her postdoctoral research fellowship in the laboratory of Professor Irving Weissman at Stanford. As a physician-scientist, Dr. Jamieson specializes in leukemia and myeloproliferative neoplasms, which are a family of uncommon degenerative disorders in which the body overproduces blood cells","Jamieson specializes in leukemia and myeloproliferative neoplasms, which are a family of rare degenerative disorders in which the body overproduces blood cells",entailment,uncommon,rare
You will feel nice in this restaurant. Recommended !Got entrecote sashimi and salmon/avocado rools. All was good,All was great,entailment,good,great
"although the acting isnt as good as the last film, the special effects is wroth it. I wont give away the ending, but the film is good enough for you to show up. Its good",Its great,contradiction,good,great
"Creative’s Zen V Plus packs in a lot of music and video functionality into a very tiny body, although its rather pedestrian interface lets it down quite a bit. Still, with good audio and video quality and a decent price, it’s a good player","Still, with good audio and video quality and a decent price, it’s a great player",contradiction,good,great
"We had all lost money putting it on, but more so it was the amount of time and energy we all had to put in and the resulting quality of event. A great achievement in Slow Food cuisine it was not. My sense was that Dave and Amber had different goals in mind than losing money on meals that were good",My sense was that Dave and Amber had different goals in mind than losing money on meals that were great,contradiction,good,great
"The first sled we’ll review is this one from Lucky Bums. Available for a mid-level price, it possesses a number of features, including a steering wheel and hand brakes. Made out of plastic, this sled possesses good durability","Made out of plastic, this sled possesses great durability",contradiction,good,great
"The crabs were good and they have decent selection of beers there. I enjoyed it, but I ended up paying $100 dollars overall (for a party of 3). My suggestion: this place is good",My suggestion: this place is great,contradiction,good,great
Refresh the page. This will bring up the player for your music. Uploading video clips is possible since these are large files that can substantially slow down the loading of our website,Uploading video clips is practical since these are large files that can substantially slow down the loading of our website,contradiction,possible,practical
"This is exactly what you’re going to want. If you plan on being in the field without portable power or a wall plug for hours on end, maybe consider something else. This computer takes into account the fact that Apple is attempting to rock the ultraportable market with their MacBook Air and slams directly into it with a completely reasonably sized small notebook with a completely unique feel on the outside and the in",This computer takes into account the fact that Apple is attempting to rock the ultraportable market with their MacBook Air and slams directly into it with a completely reasonably sized tiny notebook with a completely unique feel on the outside and the in,contradiction,small,tiny
"Arguing about something religious on a screen of pixels that arent real is real as well?There is so many lies in this one sentence alone. If you havent noticed, 90% of the forums is trolling, tin foiling, heated debates, and whine posts. Its uncommon to actually find a genuine post that has none of these in mind",Its rare to actually find a genuine post that has none of these in mind,entailment,uncommon,rare
"You always need to keep training your dog, just like you need to continue feeding it and providing it shelter. In order to prevent your dog from jumping on you, grab its paws anytime he jumps on you and gently squeeze them to inform them that this isn’t acceptable behavior. It’s uncomfortable",It’s painful,contradiction,uncomfortable,painful
Glad you are hanging in there. My sessions were closer to 40 minutes. It was uncomfortable,It was painful,neutral,uncomfortable,painful
"Sports revenue amounted to €69 million in 2015, an increase of 40% compared with last year (2014: €50 million), fuelled by the launch of our new range GPS sport watches and our action camera. Good to know, as I stated in my response, I was guessing at the size. And at 11% of 67%, that puts it at just over 7%, which I would consider a fairly small portion of the overall portfolio","And at 11% of 67%, that puts it at just over 7%, which I would consider a tiny portion of the overall portfolio",contradiction,small,tiny
"When the set was over, Alex stepped from behind the drums and hobbled off stage, wearing a walking cast on his left foot. That was the result of an August surgery to hopefully repair damage caused by his bout as an infant with neuroblastoma on his spinal cord. It's an uncommon cancer of the nerve tissues",It's a rare cancer of the nerve tissues,entailment,uncommon,rare
"He didnt have an easy time staying on the field, averaging only 130 games per season. And when he did play, his. 844 OPS qualified him as a good hitter",844 OPS qualified him as a great hitter,neutral,good,great
"You must make reservations at least 5 minutes in advance of the time at Harwigs. While there was nothing really wrong with the meal, the reputation had led us to expect something really exciting. Instead, everything was just good","Instead, everything was just great",contradiction,good,great
I served it with one fried egg on top of each portion with the salsa and a sprig of cilantro. In spite of the picture it really was beautiful. This was pretty good considering the work involved,This was great considering the work involved,entailment,good,great
"(2) Toasted Pain Bagel with Jam and Margarine. Hubbys plate of mush was OUTSTANDING! Am I raving about airplane food? I am so easily impressed, its pathetic?Crowne Plaza Time Square Manhattan is located in the heart, or actually the gut, of Time Square. Our room assignment was small and modestly stylish, with fab views of the Hudson River and cityscape! We took a speed-stroll before unpacking","Our room assignment was tiny and modestly stylish, with fab views of the Hudson River and cityscape! We took a speed-stroll before unpacking",entailment,small,tiny
"Nigel Reo-Coker - N/A, Managed none. I would be happy with Graham Alexander, but I concerned of reports that at Scunthorpe he played players out of position. Experience is good",Experience is great,neutral,good,great
"Theyre implicitly brushed off as inconsequential with a cry of Well everyone has problems! Tasks identity and motivations are brushed off and glossed over with a line or two of inadequate explanation at the end that really dont give enough information to satisfy or even spark the imagination. Line ultimately relies on the readers prerogative to mull things over in the aftermath, but is sparse in the delivery of salient plot points to think over. The art of Line is similar to the plot: good",The art of Line is similar to the plot: great,contradiction,good,great
About to fill up the bins on my tribes junk piles. These are mostly so heavy that it is hard to shlep them back to the storage area. I recommend putting boards/poles/studs/posts as uncommon results in metal/plastic sorting,I recommend putting boards/poles/studs/posts as rare results in metal/plastic sorting,contradiction,uncommon,rare
"So we changed the rules. Now if you have a project ready for a clinical trial you can apply any time. And instead of recommending or not recommending a project, basically voting it up or down, our independent panel of expert reviewers now give researchers with good applications constructive feedback, enabling the researchers to make the changes needed to improve their project, and reapply for funding within 30 days","And instead of recommending or not recommending a project, basically voting it up or down, our independent panel of expert reviewers now give researchers with great applications constructive feedback, enabling the researchers to make the changes needed to improve their project, and reapply for funding within 30 days",contradiction,good,great
"If you check and so does everyone else, you’ve missed an opportunity to get money into the pot when you’re ahead. So if there are still several players to act, or if someone is playing aggressively and can be relied on to raise you whenever you check, the check-raise might be a good play. The check-raise is often a good move if you have a good hand, maybe top pair with a good kicker, but also a draw, say four to a flush or straight","The check-raise is often a good move if you have a great hand, maybe top pair with a good kicker, but also a draw, say four to a flush or straight",contradiction,good,great
After a 20 minute session my back felt better than it had in a long time! From then on I asked for traction 20 minutes out of the 30 I had in therapy. Each visit I persuaded the therapists to make the traction machine pull with more force. It was uncomfortable,It was painful,contradiction,uncomfortable,painful
"When I went in or out of the hotel the concierge always had a smile and a greeting. Also, the lady that checked me in for the breakfast every morning always had a smile. The breakfast was good",The breakfast was great,contradiction,good,great
"Much to Kasey Keller’s disdain, the 1998 and 2006 collapses would not have been avoided by better goalkeeping. It didnt matter how well he played, the US were struggling across (and off) the pitch. 2010 featured good goalkeeping by Howard, as they were ousted by Ghana for a second straight World Cup","2010 featured great goalkeeping by Howard, as they were ousted by Ghana for a second straight World Cup",contradiction,good,great
"And really, you get what you pay for. I think the price is great for the quality. I have a set of Sony’s that I paid about $125 for and they are good",I have a set of Sony’s that I paid about $125 for and they are great,entailment,good,great
"I’ve broken out the camera experience into a separate area because there’s so many scenes, modes and functions. Overall, I found the Galaxy S 4 camera to be quite good for both stills and HD videos in nearly every situation. Some HDR shots were marginal, and low-light capture is good","Some HDR shots were marginal, and low-light capture is great",neutral,good,great
"While working on Ta-Kush, curators at the Maidstone Museum decided to scan a bunch of other artifacts, including a strange, tiny coffin labeled, “A mummified hawk with linen and cartonnage, Ptolemaic period (323 BC - 30 BC). ” To their surprise, the scans did not reveal a bird, but instead the distinct outlines of a premature human baby. When it comes to visual detail, CT scans are good prompting Western University anthropologist Andrew Nelson to take a closer look using high-resolution micro-CT scanning","When it comes to visual detail, CT scans are great prompting Western University anthropologist Andrew Nelson to take a closer look using high-resolution micro-CT scanning",entailment,good,great
"I used to make this dish the way my mom did it, using the same batter, she would made a whole bunch of individual 4” omelets. Fuschia Dunlop’s way of making one large omelet with all the batter is so much more efficient, I’ll be doing it this way from now on. This was good",This was great,entailment,good,great
"Creature variety seems to be decent, but more would be better. Item variety is less so; Rogue is the winner hands down in that category. However a nice feature is that occasionally you may find a magic weapon or magic armor; these are uncommon",However a nice feature is that occasionally you may find a magic weapon or magic armor; these are rare,entailment,uncommon,rare
With the Ad-Hoc Filters variable you can dynamically add filters to any log property!We spent a lot of time improving the dashboard building experience. Trying to make it both more efficient and easier for beginners. After many good experiments with a build mode we eventually decided to just improve the green row menu and continue work on a build mode for a future release,After many great experiments with a build mode we eventually decided to just improve the green row menu and continue work on a build mode for a future release,contradiction,good,great
"6-inch display boasts 1,366-by-768 resolution, with a coating that prevents the glare that comes with a glass-surface display. It offers no touch capability. Image quality is good as one might expect in this price range",Image quality is great as one might expect in this price range,entailment,good,great
"And, their work shows, there are parallels in where in the brain this process of undoing the behavioral impact of the association, called extinction, happens for both these real and imagined sounds. The findings, publishing November 21 in the journal Neuron, help to explain why imagination, already widely used as a therapy tool, can help with anxiety disorders. The 68 healthy participants in this study were trained to associate either a high-pitched sound or a low-pitched sound with an uncomfortable electric shock",The 68 healthy participants in this study were trained to associate either a high-pitched sound or a low-pitched sound with an painful electric shock,contradiction,uncomfortable,painful
"For sure, the older you get, the more doctors you need to see. OS, MOH had a stress test about a year ago. Its apparently uncomfortable",Its apparently painful,contradiction,uncomfortable,painful
"I looked for it again today, but it has moved - Ill keep an eye out. If I find it again, Ill try to capture it for studio shots which would give me a better chance of a sharp and clear series of photos. Nigma puella adults are small spiders",Nigma puella adults are tiny spiders,entailment,small,tiny
"They tried to drain the fluid by putting a needle in my back, but even their longest needle wouldnt reach because I was too big, he says. Eventually, they made a hole in my back and inserted a tube to drain the fluid. It was done under a local anaesthetic and was quite uncomfortable",It was done under a local anaesthetic and was painful,entailment,uncomfortable,painful
I have a Palm Centro. I love the qwerty keyboard and the size. Its small,Its tiny,entailment,small,tiny
"Lifelong control of hypertension will minimize the risk of developing heart attack, stroke, kidney failure, blindness, and a variety of other illnesses. Unlike other illnesses in which medications are taken for only a short period of time, high blood pressure medication is usually expected to be taken for the rest of the individuals life. It is uncommon that significant lifestyle changes can lower blood pressure readings to normal",It is rare that significant lifestyle changes can lower blood pressure readings to normal,entailment,uncommon,rare
"This coming season you will once again observe him correctly doing the job that’s cut out for him on this club and making his coach and GM amply happy in the process. The fear is that should those points scoring numbers continue to increase – and from the way he’s performed preseason there’s no reason to believe that they shouldn’t – with his contract coming up for renewal in July his value may increase beyond what the team can afford. Or perhaps there will more surprises in store (10, 26, 28) and to our eternal joy Trevor will become unaffordable to be let go!TL gives an honest effort and has good speed","Or perhaps there will more surprises in store (10, 26, 28) and to our eternal joy Trevor will become unaffordable to be let go!TL gives an honest effort and has great speed",entailment,good,great
"She has studied Vinyasa and Womens Yoga at Devi Yoga for Women and is certified 200 RYT. She currently teaches with Radiant Life Project in Kansas City helping to make yoga more accessible. She lives with her partner, toddler, a loud dog and the coolest cat in a small house","She lives with her partner, toddler, a loud dog and the coolest cat in a tiny house",contradiction,small,tiny
"They havent done any demonstrations? I suggest. Not to his satisfaction, he shakes his head. I ask him if he thinks basically both companies are pursuing something that is possible and he nods in agreement",I ask him if he thinks basically both companies are pursuing something that is practical and he nods in agreement,contradiction,possible,practical
Monopoly is a strong representation of the classic table game on a gaming console. Classic gameplay with new variations and minigames deliver a pleasing game experience to play against friends and/or family. Monopoly on the Wii is a good interpretation of the Parker Brothers classic,Monopoly on the Wii is a great interpretation of the Parker Brothers classic,entailment,good,great
Dr. Jamieson specializes in myeloproliferative disorders (MPDs) and leukemia. Myeloproliferative disorders are a family of uncommon degenerative disorders in which the body overproduces blood cells,Myeloproliferative disorders are a family of rare degenerative disorders in which the body overproduces blood cells,entailment,uncommon,rare
"I give them high marks, but I wouldve appreciated some sort of explanation of the menu changes on the second flight. I ended up sleeping / eating for the vast majority of both flights, but did manage to watch The Campaign and Ted during the trip. The entertainment system was ok - the movie selection was reasonably good and there was a bit of a lag when using the touch interface, but it certainly got the job done","The entertainment system was ok - the movie selection was great and there was a bit of a lag when using the touch interface, but it certainly got the job done",contradiction,good,great
© 2018 Urban62 Marketing. All Rights Reserved. South Calgary is a small inner city SW Calgary residential neighbourhood that is an excellent choice for an income property or for those looking to be closer to the city life,South Calgary is a tiny inner city SW Calgary residential neighbourhood that is an excellent choice for an income property or for those looking to be closer to the city life,contradiction,small,tiny
"It was nothing to compare to the better and cheaper ceviches and aguachiles at Apoala. In fact it was nothing to compare the bigger better and ceviche at La Pigua, or Muelle 8 or even Marlin Azul in Merida. Third came the soft shell crab tacos which were good",Third came the soft shell crab tacos which were great,contradiction,good,great
"Another caveat. Before attempting exposure-based exercises, one should be in generally good health. You may want to check with your physician before attempting interoceptive exposure, which is designed to be uncomfortable","You may want to check with your physician before attempting interoceptive exposure, which is designed to be painful",contradiction,uncomfortable,painful
"Look at her, she is no Arab. Roman genes flow in her blood, great to see she has thrown off the shackles that enslaved her ancestors. This is uncommon here in North Africa",This is rare here in North Africa,entailment,uncommon,rare
Theyre going to want to rip the Colts to shreds. Theyre playing better than any other team in the league. The Colts are good,The Colts are great,contradiction,good,great
"Very nice equipment no charger required for as far as quality its very good for the price a little bit bulky but it works well. I use it with my cellphone at home and I prefer it to any other way of talking: it leaves me hands-free, it leaves one ear uncovered so I can hear whats going on around me, and the sound quality is very good. Im a small woman, and would not recommend this, unless you have a larger head","Im a tiny woman, and would not recommend this, unless you have a larger head",contradiction,small,tiny
"The ingredients in ice cream that traditionally give it that wonderful thick, creamy texture are cream and eggs. Being allergic to eggs and and trying to avoid foods with cholesterol I’m searching for the perfect vegan ice creme recipe that will give me the “mouth feel” of full fat ice cream without the offending ingredients. The results were good",The results were great,contradiction,good,great
"So, what makes the Cavapoo so popular, and why are they in such great demand in the UK at the moment? In this article, we will look at the main factors that make this type of dog a good choice for prospective puppy buyers. Read on to learn more. There can be a degree of variance in the size of different Cavapoos because of the different size options that poodles can be found in – but generally, miniature poodles are used as part of Cavapoo breeding programs, which results in a reasonably small dog","There can be a degree of variance in the size of different Cavapoos because of the different size options that poodles can be found in – but generally, miniature poodles are used as part of Cavapoo breeding programs, which results in a tiny dog",contradiction,small,tiny
"Very easy to use and find potential properties using the Trulia website. Looking for listings and or properties. Trulia is a good Real Estate Tool, The site has a good look and feel, and is more reliable than some other similar websites out there (including Zillow, even though they are now the same company)","Trulia is a great Real Estate ToolT, he site has a good look and feel, and is more reliable than some other similar websites out there (including Zillow, even though they are now the same company)",entailment,good,great
"Mark seemedmore like a construct than a real person. The portrait of the ex-con carpenter living with his shame touched me. All in all, a good Tess effort","All in all, a great Tess effort",contradiction,good,great
